Register ID,Course Instance,Student id,Status,Grade
RID195,I-4955,19870215-0031,completed,4
RID196,I-3280,19870215-0031,completed,3
RID197,I-5066,19870215-0031,completed,3
RID198,I-4960,19870215-0031,completed,3
RID199,I-4963,19870215-0031,completed,4
RID200,I-3177,19870215-0031,completed,4
RID201,I-4958,19870215-0031,completed,5
RID202,I-441,19870215-0031,completed,3
RID203,I-2450,19870215-0031,completed,4
RID204,I-345,19870215-0031,completed,5
RID205,I-4868,19870215-0031,completed,3
RID206,I-5074,19870215-0031,completed,5
RID207,I-5075,19870215-0031,completed,4
RID208,I-4137,19870215-0031,completed,5
RID209,I-5189,19870215-0031,completed,5
RID210,I-52,19870215-0031,completed,5
RID211,I-3400,19870215-0031,completed,4
RID212,I-4210,19881204-0033,completed,4
RID213,I-2649,19881204-0033,completed,5
RID214,I-2646,19881204-0033,completed,3
RID215,I-2445,19881204-0033,completed,3
RID216,I-5388,19881204-0033,completed,4
RID217,I-2765,19881204-0033,completed,5
RID218,I-3183,19881204-0033,completed,5
RID219,I-2356,19881204-0033,completed,3
RID220,I-2764,19881204-0033,completed,3
RID221,I-2772,19881204-0033,completed,4
RID222,I-3795,19881204-0033,completed,4
RID223,I-1610,19881204-0033,completed,5
RID224,I-2769,19881204-0033,completed,3
RID225,I-1405,19881204-0033,completed,3
RID226,I-3079,19890416-0034,completed,5
RID227,I-1402,19890416-0034,completed,3
RID228,I-3081,19890416-0034,completed,4
RID229,I-879,19890416-0034,completed,4
RID230,I-2366,19890416-0034,completed,5
RID231,I-4236,19890416-0034,completed,3
RID232,I-5186,19890416-0034,completed,3
RID233,I-2566,19890416-0034,completed,5
RID234,I-3295,19890416-0034,completed,4
RID235,I-3711,19890416-0034,completed,4
RID236,I-3297,19890416-0034,completed,5
RID237,I-691,19890416-0034,completed,3
RID238,I-3364,19891011-0035,completed,5
RID239,I-317,19891011-0035,completed,3
RID240,I-3365,19891011-0035,completed,3
RID241,I-3369,19891011-0035,completed,3
RID242,I-3169,19891011-0035,completed,4
RID243,I-3790,19891011-0035,completed,4
RID244,I-1287,19891011-0035,completed,5
RID245,I-1597,19891011-0035,completed,5
RID246,I-2756,19890927-0036,completed,3
RID247,I-2550,19890927-0036,completed,5
RID248,I-2026,19890927-0036,completed,4
RID249,I-3072,19890927-0036,completed,4
RID250,I-5277,19890927-0036,completed,5
RID251,I-2245,19890927-0036,completed,5
RID252,I-4964,19890927-0036,completed,3
RID253,I-3179,19890927-0036,completed,5
RID254,I-3176,19890927-0036,completed,3
RID255,I-1712,19890927-0036,completed,5
RID256,I-1294,19890927-0036,completed,5
RID257,I-4639,19890927-0036,completed,5
RID258,I-3180,19890927-0036,completed,5
RID259,I-3184,19890927-0036,completed,3
RID260,I-3288,19890927-0036,completed,5
RID261,I-249,19890927-0036,completed,4
RID262,I-2989,19890927-0036,completed,3
RID263,I-3291,19890927-0036,completed,3
RID264,I-1904,19870422-0037,completed,4
RID265,I-2013,19870422-0037,completed,4
RID266,I-1909,19870422-0037,completed,4
RID267,I-1906,19870422-0037,completed,5
RID268,I-756,19870422-0037,completed,3
RID269,I-2646,19870422-0037,completed,4
RID270,I-4422,19870422-0037,completed,5
RID271,I-11,19870422-0037,completed,4
RID272,I-2026,19870422-0037,completed,3
RID273,I-2878,19870422-0037,completed,4
RID274,I-5279,19870422-0037,completed,5
RID275,I-2139,19870422-0037,completed,4
RID276,I-3698,19870422-0037,completed,3
RID277,I-237,19881020-0039,completed,4
RID278,I-666,19881020-0039,completed,3
RID279,I-667,19881020-0039,completed,3
RID280,I-2032,19881020-0039,completed,3
RID281,I-5072,19881020-0039,completed,5
RID282,I-247,19881020-0039,completed,5
RID283,I-4761,19881020-0039,completed,5
RID284,I-783,19881020-0039,completed,5
RID285,I-890,19881020-0039,completed,3
RID286,I-4136,19881020-0039,completed,4
RID287,I-2786,19881020-0039,completed,4
RID288,I-893,19881020-0039,completed,3
RID289,I-1291,19881216-0040,completed,3
RID290,I-4113,19881216-0040,completed,4
RID291,I-2770,19881216-0040,completed,5
RID292,I-4749,19881216-0040,completed,3
RID293,I-2776,19881216-0040,completed,3
RID294,I-4324,19881216-0040,completed,5
RID295,I-3907,19881216-0040,completed,4
RID296,I-5187,19881216-0040,completed,4
RID297,I-1415,19881216-0040,completed,4
RID298,I-1417,19881216-0040,completed,4
RID299,I-3291,19881216-0040,completed,5
RID300,I-1421,19881216-0040,completed,3
RID301,I-1420,19881216-0040,completed,4
RID302,I-1200,19881216-0040,completed,4
RID303,I-2873,19870720-0041,completed,3
RID304,I-2876,19870720-0041,completed,3
RID305,I-2874,19870720-0041,completed,4
RID306,I-557,19870720-0041,completed,4
RID307,I-5065,19870720-0041,completed,3
RID308,I-2878,19870720-0041,completed,5
RID309,I-2882,19870720-0041,completed,5
RID310,I-978,19870720-0041,completed,5
RID311,I-2879,19870720-0041,completed,5
RID312,I-2986,19870720-0041,completed,5
RID313,I-3495,19870720-0041,completed,4
RID314,I-2988,19870720-0041,completed,4
RID315,I-3293,19870720-0041,completed,4
RID316,I-5043,19880818-0043,completed,4
RID317,I-3160,19880818-0043,completed,3
RID318,I-5045,19880818-0043,completed,5
RID319,I-5051,19880818-0043,completed,5
RID320,I-2441,19880818-0043,completed,4
RID321,I-2969,19880818-0043,completed,5
RID322,I-5165,19880818-0043,completed,4
RID323,I-3784,19880818-0043,completed,4
RID324,I-325,19880204-0045,completed,4
RID325,I-2341,19880204-0045,completed,5
RID326,I-867,19880204-0045,completed,3
RID327,I-5489,19880204-0045,completed,5
RID328,I-25,19880204-0045,completed,5
RID329,I-442,19880204-0045,completed,4
RID330,I-443,19880204-0045,completed,5
RID331,I-444,19880204-0045,completed,3
RID332,I-885,19880204-0045,completed,3
RID333,I-3393,19880204-0045,completed,5
RID334,I-2674,19880204-0045,completed,3
RID335,I-678,19880204-0045,completed,4
RID336,I-2746,19880807-0046,completed,5
RID337,I-3570,19880807-0046,completed,5
RID338,I-1905,19880807-0046,completed,3
RID339,I-2749,19880807-0046,completed,5
RID340,I-3677,19890219-0047,completed,5
RID341,I-5152,19890219-0047,completed,5
RID342,I-2434,19890219-0047,completed,3
RID343,I-1274,19890219-0047,completed,5
RID344,I-2547,19890219-0047,completed,4
RID345,I-2548,19890219-0047,completed,5
RID346,I-4103,19890219-0047,completed,5
RID347,I-3071,19890219-0047,completed,4
RID348,I-4099,19870412-0048,completed,5
RID349,I-5044,19870412-0048,completed,5
RID350,I-643,19870412-0048,completed,3
RID351,I-4098,19870412-0048,completed,3
RID352,I-3370,19870412-0048,completed,5
RID353,I-644,19870412-0048,completed,4
RID354,I-647,19870412-0048,completed,5
RID355,I-755,19870412-0048,completed,4
RID356,I-2333,19870412-0048,completed,4
RID357,I-646,19870412-0048,completed,5
RID358,I-758,19870412-0048,completed,4
RID359,I-762,19870412-0048,completed,5
RID360,I-2135,19870412-0048,completed,3
RID361,I-127,19870412-0048,completed,5
RID362,I-134,19870412-0048,completed,4
RID363,I-3080,19870412-0048,completed,4
RID364,I-879,19870412-0048,completed,5
RID365,I-874,19870412-0048,completed,5
RID366,I-873,19870412-0048,completed,3
RID367,I-5273,19870412-0048,completed,3
RID368,I-3689,19870412-0048,completed,4
RID369,I-669,19870412-0048,completed,4
RID370,I-3277,19870412-0048,completed,3
RID371,I-872,19870412-0048,completed,5
RID372,I-11,19860119-0049,completed,4
RID373,I-12,19860119-0049,completed,5
RID374,I-331,19860119-0049,completed,5
RID375,I-15,19860119-0049,completed,5
RID376,I-130,19860119-0049,completed,4
RID377,I-5388,19860119-0049,completed,3
RID378,I-1511,19860119-0049,completed,4
RID379,I-768,19860119-0049,completed,3
RID380,I-4542,19860119-0049,completed,4
RID381,I-248,19860119-0049,completed,3
RID382,I-560,19860119-0049,completed,3
RID383,I-3187,19860119-0049,completed,4
RID384,I-2034,19880522-0050,completed,5
RID385,I-4122,19880522-0050,completed,5
RID386,I-2249,19880522-0050,completed,5
RID387,I-3590,19880522-0050,completed,4
RID388,I-345,19880522-0050,completed,3
RID389,I-247,19880522-0050,completed,3
RID390,I-1422,19880522-0050,completed,5
RID391,I-4761,19880522-0050,completed,5
RID392,I-2055,19880522-0050,completed,5
RID393,I-891,19880522-0050,completed,3
RID394,I-3917,19880522-0050,completed,3
RID395,I-51,19880522-0050,completed,4
RID396,I-959,19851109-0051,completed,3
RID397,I-2337,19851109-0051,completed,3
RID398,I-2434,19851109-0051,completed,5
RID399,I-1067,19851109-0051,completed,4
RID400,I-2547,19851109-0051,completed,3
RID401,I-2548,19851109-0051,completed,3
RID402,I-4103,19851109-0051,completed,5
RID403,I-2550,19851109-0051,completed,4
RID404,I-1700,19890611-0052,completed,3
RID405,I-1701,19890611-0052,completed,5
RID406,I-1704,19890611-0052,completed,5
RID407,I-3269,19890611-0052,completed,3
RID408,I-2026,19890611-0052,completed,5
RID409,I-1396,19890611-0052,completed,3
RID410,I-3076,19890611-0052,completed,5
RID411,I-2868,19890611-0052,completed,4
RID412,I-1811,19890611-0052,completed,3
RID413,I-4860,19890611-0052,completed,3
RID414,I-1814,19890611-0052,completed,4
RID415,I-1813,19890611-0052,completed,4
RID416,I-1815,19890611-0052,completed,3
RID417,I-2449,19890611-0052,completed,3
RID418,I-5380,19890611-0052,completed,5
RID419,I-2979,19890611-0052,completed,5
RID420,I-4936,19870427-0056,completed,4
RID421,I-2861,19870427-0056,completed,4
RID422,I-219,19870427-0056,completed,3
RID423,I-5261,19870427-0056,completed,3
RID424,I-4525,19870427-0056,completed,3
RID425,I-2021,19870427-0056,completed,5
RID426,I-662,19870427-0056,completed,5
RID427,I-4311,19870427-0056,completed,3
RID428,I-4854,19870427-0056,completed,4
RID429,I-5172,19870427-0056,completed,4
RID430,I-5382,19870427-0056,completed,4
RID431,I-5177,19870427-0056,completed,3
RID432,I-4946,19861117-0057,completed,5
RID433,I-4947,19861117-0057,completed,5
RID434,I-3073,19861117-0057,completed,4
RID435,I-4949,19861117-0057,completed,4
RID436,I-4953,19861117-0057,completed,4
RID437,I-4951,19861117-0057,completed,4
RID438,I-4423,19861117-0057,completed,4
RID439,I-4948,19861117-0057,completed,3
RID440,I-1080,19861117-0057,completed,3
RID441,I-5063,19861117-0057,completed,3
RID442,I-5065,19861117-0057,completed,4
RID443,I-5381,19861117-0057,completed,5
RID444,I-5179,19861117-0057,completed,4
RID445,I-5180,19861117-0057,completed,5
RID446,I-2147,19861117-0057,completed,4
RID447,I-984,19861117-0057,completed,3
RID448,I-565,19861117-0057,completed,3
RID449,I-1305,19861117-0057,completed,3
RID450,I-5184,19861117-0057,completed,3
RID451,I-3187,19861117-0057,completed,4
RID452,I-534,19891109-0058,completed,4
RID453,I-2637,19891109-0058,completed,3
RID454,I-2641,19891109-0058,completed,5
RID455,I-1382,19891109-0058,completed,4
RID456,I-2233,19891109-0058,completed,5
RID457,I-22,19891109-0058,completed,3
RID458,I-2757,19891109-0058,completed,3
RID459,I-2761,19891109-0058,completed,5
RID460,I-5385,19890705-0059,completed,3
RID461,I-3584,19890705-0059,completed,5
RID462,I-136,19890705-0059,completed,4
RID463,I-3586,19890705-0059,completed,5
RID464,I-3699,19890705-0059,completed,3
RID465,I-2990,19890705-0059,completed,4
RID466,I-2364,19890705-0059,completed,3
RID467,I-3702,19890705-0059,completed,3
RID468,I-2232,19860128-0061,completed,4
RID469,I-2348,19860128-0061,completed,3
RID470,I-2235,19860128-0061,completed,4
RID471,I-5169,19860128-0061,completed,4
RID472,I-2350,19860128-0061,completed,3
RID473,I-2351,19860128-0061,completed,4
RID474,I-2353,19860128-0061,completed,5
RID475,I-1512,19860128-0061,completed,3
RID476,I-4310,19850704-0062,completed,3
RID477,I-3072,19850704-0062,completed,3
RID478,I-1498,19850704-0062,completed,4
RID479,I-1499,19850704-0062,completed,4
RID480,I-5274,19850704-0062,completed,4
RID481,I-1610,19850704-0062,completed,5
RID482,I-1608,19850704-0062,completed,5
RID483,I-871,19850704-0062,completed,3
RID484,I-225,19860412-0063,completed,3
RID485,I-4731,19860412-0063,completed,3
RID486,I-640,19860412-0063,completed,3
RID487,I-1383,19860412-0063,completed,5
RID488,I-3467,19870918-0064,completed,3
RID489,I-2956,19870918-0064,completed,3
RID490,I-2119,19870918-0064,completed,4
RID491,I-2959,19870918-0064,completed,4
RID492,I-4638,19880307-0065,completed,3
RID493,I-1088,19880307-0065,completed,4
RID494,I-4643,19880307-0065,completed,5
RID495,I-2138,19880307-0065,completed,4
RID496,I-4640,19880307-0065,completed,3
RID497,I-4649,19880307-0065,completed,4
RID498,I-4645,19880307-0065,completed,4
RID499,I-3184,19880307-0065,completed,4
RID500,I-4644,19880307-0065,completed,3
RID501,I-2244,19880307-0065,completed,3
RID502,I-3907,19880307-0065,completed,5
RID503,I-4755,19880307-0065,completed,4
RID504,I-4757,19880307-0065,completed,5
RID505,I-4756,19880307-0065,completed,5
RID506,I-1951,19880307-0065,completed,3
RID507,I-3195,19880307-0065,completed,3
RID508,I-155,19880307-0065,completed,5
RID509,I-3303,19880307-0065,completed,5
RID510,I-4644,19861216-0066,completed,5
RID511,I-5278,19861216-0066,completed,5
RID512,I-3178,19861216-0066,completed,3
RID513,I-1711,19861216-0066,completed,5
RID514,I-1725,19861216-0066,completed,3
RID515,I-989,19861216-0066,completed,4
RID516,I-4541,19861216-0066,completed,4
RID517,I-1821,19861216-0066,completed,3
RID518,I-1298,19850124-0067,completed,4
RID519,I-3382,19850124-0067,completed,4
RID520,I-3384,19850124-0067,completed,5
RID521,I-4531,19850124-0067,completed,3
RID522,I-2362,19850124-0067,completed,3
RID523,I-5392,19850124-0067,completed,4
RID524,I-3070,19880118-0068,completed,3
RID525,I-3071,19880118-0068,completed,3
RID526,I-3997,19880118-0068,completed,3
RID527,I-1703,19880118-0068,completed,4
RID528,I-3174,19880118-0068,completed,5
RID529,I-3175,19880118-0068,completed,3
RID530,I-3179,19880118-0068,completed,3
RID531,I-3185,19880118-0068,completed,3
RID532,I-3288,19880118-0068,completed,4
RID533,I-3290,19880118-0068,completed,5
RID534,I-5396,19880118-0068,completed,4
RID535,I-4650,19880118-0068,completed,5
RID536,I-1273,19870727-0069,completed,4
RID537,I-2543,19870727-0069,completed,5
RID538,I-1278,19870727-0069,completed,5
RID539,I-3069,19870727-0069,completed,3
RID540,I-3788,19870727-0069,completed,5
RID541,I-1392,19870727-0069,completed,4
RID542,I-1397,19870727-0069,completed,3
RID543,I-1399,19870727-0069,completed,4
RID544,I-1395,19870727-0069,completed,4
RID545,I-1394,19870727-0069,completed,4
RID546,I-2762,19870727-0069,completed,4
RID547,I-1398,19870727-0069,completed,3
RID548,I-1922,19851126-0070,completed,4
RID549,I-1923,19851126-0070,completed,4
RID550,I-1924,19851126-0070,completed,5
RID551,I-1925,19851126-0070,completed,4
RID552,I-676,19851126-0070,completed,4
RID553,I-2038,19851126-0070,completed,3
RID554,I-1304,19851126-0070,completed,3
RID555,I-2041,19851126-0070,completed,4
RID556,I-1215,19851126-0070,completed,4
RID557,I-2157,19851126-0070,completed,3
RID558,I-4239,19851126-0070,completed,5
RID559,I-4240,19851126-0070,completed,3
RID560,I-11,19850522-0072,completed,5
RID561,I-12,19850522-0072,completed,3
RID562,I-16,19850522-0072,completed,4
RID563,I-15,19850522-0072,completed,3
RID564,I-660,19850522-0072,completed,3
RID565,I-3273,19850522-0072,completed,3
RID566,I-19,19850522-0072,completed,5
RID567,I-2240,19850522-0072,completed,3
RID568,I-1705,19850522-0072,completed,5
RID569,I-22,19850522-0072,completed,5
RID570,I-130,19850522-0072,completed,4
RID571,I-2763,19850522-0072,completed,3
RID572,I-1511,19850522-0072,completed,3
RID573,I-133,19850522-0072,completed,5
RID574,I-246,19850522-0072,completed,4
RID575,I-249,19850522-0072,completed,5
RID576,I-560,19850522-0072,completed,4
RID577,I-5186,19850522-0072,completed,3
RID578,I-3467,19861115-0074,completed,3
RID579,I-4937,19861115-0074,completed,4
RID580,I-4938,19861115-0074,completed,4
RID581,I-119,19861115-0074,completed,5
RID582,I-4525,19861115-0074,completed,5
RID583,I-5054,19861115-0074,completed,5
RID584,I-2869,19861115-0074,completed,3
RID585,I-4744,19861115-0074,completed,3
RID586,I-2768,19861115-0074,completed,5
RID587,I-1088,19861115-0074,completed,3
RID588,I-3488,19861115-0074,completed,4
RID589,I-5173,19861115-0074,completed,5
RID590,I-1494,19890622-0076,completed,3
RID591,I-3997,19890622-0076,completed,5
RID592,I-329,19890622-0076,completed,4
RID593,I-1500,19890622-0076,completed,5
RID594,I-1607,19890622-0076,completed,4
RID595,I-3697,19890622-0076,completed,3
RID596,I-1608,19890622-0076,completed,3
RID597,I-1613,19890622-0076,completed,4
RID598,I-4101,19850206-0077,completed,4
RID599,I-4632,19850206-0077,completed,5
RID600,I-2969,19850206-0077,completed,3
RID601,I-4111,19850206-0077,completed,3
RID602,I-4217,19850206-0077,completed,4
RID603,I-5177,19850206-0077,completed,5
RID604,I-4006,19850206-0077,completed,5
RID605,I-4963,19850206-0077,completed,4
RID606,I-4405,19860516-0078,completed,4
RID607,I-3776,19860516-0078,completed,3
RID608,I-2339,19860516-0078,completed,5
RID609,I-4409,19860516-0078,completed,5
RID610,I-4522,19860516-0078,completed,3
RID611,I-4523,19860516-0078,completed,3
RID612,I-3271,19860516-0078,completed,5
RID613,I-1285,19860516-0078,completed,3
RID614,I-2640,19891104-0079,completed,5
RID615,I-1795,19891104-0079,completed,3
RID616,I-1385,19891104-0079,completed,4
RID617,I-3778,19891104-0079,completed,5
RID618,I-1587,19870128-0080,completed,5
RID619,I-1588,19870128-0080,completed,3
RID620,I-1591,19870128-0080,completed,5
RID621,I-1176,19870128-0080,completed,5
RID622,I-754,19870128-0080,completed,5
RID623,I-1595,19870128-0080,completed,5
RID624,I-1596,19870128-0080,completed,4
RID625,I-5156,19870128-0080,completed,3
RID626,I-1592,19870128-0080,completed,4
RID627,I-1797,19870507-0082,completed,3
RID628,I-641,19870507-0082,completed,4
RID629,I-4098,19870507-0082,completed,4
RID630,I-647,19870507-0082,completed,5
RID631,I-758,19870507-0082,completed,4
RID632,I-764,19870507-0082,completed,3
RID633,I-760,19870507-0082,completed,5
RID634,I-126,19870507-0082,completed,3
RID635,I-5276,19870507-0082,completed,5
RID636,I-4322,19870507-0082,completed,5
RID637,I-879,19870507-0082,completed,4
RID638,I-980,19870507-0082,completed,5
RID639,I-1914,19870308-0083,completed,4
RID640,I-2442,19870308-0083,completed,5
RID641,I-1917,19870308-0083,completed,5
RID642,I-3481,19870308-0083,completed,3
RID643,I-2027,19870308-0083,completed,3
RID644,I-4959,19870308-0083,completed,4
RID645,I-4005,19870308-0083,completed,4
RID646,I-2033,19870308-0083,completed,4
RID647,I-32,19870308-0083,completed,3
RID648,I-5075,19870308-0083,completed,3
RID649,I-248,19870308-0083,completed,3
RID650,I-2148,19870308-0083,completed,3
RID651,I-3583,19851112-0084,completed,4
RID652,I-3584,19851112-0084,completed,5
RID653,I-136,19851112-0084,completed,4
RID654,I-3586,19851112-0084,completed,4
RID655,I-3699,19851112-0084,completed,5
RID656,I-3912,19851112-0084,completed,5
RID657,I-2364,19851112-0084,completed,3
RID658,I-40,19851112-0084,completed,4
RID659,I-4936,19861015-0085,completed,3
RID660,I-4937,19861015-0085,completed,4
RID661,I-4938,19861015-0085,completed,5
RID662,I-4939,19861015-0085,completed,3
RID663,I-5052,19861015-0085,completed,5
RID664,I-3271,19861015-0085,completed,3
RID665,I-5370,19861015-0085,completed,4
RID666,I-5053,19861015-0085,completed,5
RID667,I-4635,19861015-0085,completed,3
RID668,I-2442,19861015-0085,completed,5
RID669,I-967,19861015-0085,completed,3
RID670,I-5057,19861015-0085,completed,3
