Record ID,Teacher Id,Assigned Hours,Course code,Reported Hours
A86,19750331-0036,120,I-34,115
A87,19690408-0009,280,I-35,271
A88,19770713-0042,100,I-35,100
A89,19601021-0018,260,I-36,261
A90,19790618-0048,100,I-36,114
A91,19680712-0028,260,I-37,272
A92,19790618-0048,100,I-37,84
A93,19610623-0005,280,I-38,273
A94,19781125-0031,100,I-38,118
A95,19600529-0021,260,I-39,258
A96,19761024-0034,120,I-39,136
A97,19921123-0108,100,I-39,102
A98,19680712-0028,260,I-40,242
A99,19750417-0051,120,I-40,133
A100,19590129-0004,260,I-41,277
A101,19750122-0056,140,I-41,138
A102,19920826-0088,100,I-41,116
A103,19600529-0021,260,I-42,272
A104,19781217-0053,120,I-42,114
A105,19611219-0014,260,I-43,241
A106,19750705-0033,140,I-43,153
A107,19930512-0117,120,I-43,119
A108,19611219-0014,280,I-44,267
A109,19780815-0047,140,I-44,139
A110,19640414-0013,240,I-45,224
A111,19750331-0036,100,I-45,93
A112,19910403-0131,100,I-45,104
A113,19650303-0019,260,I-46,280
A114,19750331-0036,120,I-46,103
A115,19690513-0015,280,I-47,278
A116,19780815-0047,140,I-47,121
A117,19600814-0002,280,I-48,284
A118,19751018-0039,120,I-48,120
A119,19560612-0010,280,I-49,291
A120,19770224-0058,100,I-49,87
A121,19930616-0127,140,I-49,149
A122,19560612-0010,260,I-50,250
A123,19750102-0059,140,I-50,133
A124,19560705-0025,260,I-51,240
A125,19761009-0055,120,I-51,121
A126,19610918-0027,260,I-52,259
A127,19790426-0049,100,I-52,87
A128,19910101-0133,140,I-52,137
A129,19680712-0028,260,I-53,278
A130,19790702-0038,140,I-53,141
A131,19911116-0069,120,I-53,131
A132,19690513-0015,240,I-54,221
A133,19760524-0046,140,I-54,124
A134,19931118-0062,140,I-54,129
A135,19680712-0028,260,I-55,273
A136,19750705-0033,120,I-55,132
A137,19570826-0012,240,I-56,241
A138,19760524-0046,100,I-56,85
A139,19920505-0115,100,I-56,103
A140,19640220-0029,240,I-57,233
A141,19780602-0035,140,I-57,155
A142,19561222-0030,260,I-58,271
A143,19790426-0049,140,I-58,158
A144,19630126-0001,240,I-59,231
A145,19780815-0047,100,I-59,96
A146,19920505-0115,140,I-59,129
A147,19600529-0021,240,I-60,252
A148,19761020-0044,140,I-60,144
A149,19610918-0027,260,I-61,275
A150,19750331-0036,140,I-61,154
A151,19650303-0019,240,I-62,224
A152,19790618-0048,140,I-62,137
A153,19930709-0100,100,I-62,108
A154,19640414-0013,240,I-63,248
A155,19770713-0042,120,I-63,131
A156,19690408-0009,280,I-64,261
A157,19761009-0055,120,I-64,137
A158,19560812-0016,240,I-65,242
A159,19781130-0054,120,I-65,120
A160,19620424-0026,280,I-66,283
A161,19790702-0038,120,I-66,124
A162,19620831-0024,280,I-67,274
A163,19761009-0055,140,I-67,127
A164,19610918-0027,240,I-68,256
A165,19760108-0050,100,I-68,120
A166,19610918-0027,240,I-69,246
A167,19790717-0045,100,I-69,115
A168,19930829-0082,100,I-69,101
A169,19600529-0021,260,I-70,271
A170,19781125-0031,100,I-70,91
A171,19900520-0063,140,I-70,133
A172,19601021-0018,280,I-71,260
A173,19761024-0034,120,I-71,106
A174,19900909-0123,100,I-71,117
A175,19610918-0027,240,I-72,246
A176,19760108-0050,120,I-72,121
A177,19920602-0073,120,I-72,100
A178,19690513-0015,280,I-73,295
A179,19790426-0049,140,I-73,141
A180,19920320-0121,140,I-73,158
A181,19561222-0030,260,I-74,269
A182,19750331-0036,140,I-74,147
A183,19930829-0082,140,I-74,131
A184,19620424-0026,280,I-75,281
A185,19760524-0046,120,I-75,117
A186,19920828-0070,100,I-75,84
A187,19580218-0007,280,I-76,265
A188,19761009-0055,100,I-76,97
A189,19911025-0091,140,I-76,131
A190,19660630-0020,240,I-77,251
A191,19781130-0054,100,I-77,113
A192,19560812-0016,280,I-78,282
A193,19750512-0043,140,I-78,136
A194,19640220-0029,240,I-79,254
A195,19770713-0042,120,I-79,140
A196,19580218-0007,280,I-80,296
A197,19750722-0060,120,I-80,100
A198,19561222-0030,280,I-81,295
A199,19770713-0042,120,I-81,133
A200,19560705-0025,260,I-82,278
A201,19771013-0040,140,I-82,137
A202,19920320-0121,100,I-82,101
A203,19610620-0006,260,I-83,248
A204,19780602-0035,140,I-83,133
A205,19911025-0091,120,I-83,102
A206,19660630-0020,260,I-84,277
A207,19750122-0056,100,I-84,99
A208,19560705-0025,260,I-85,258
A209,19790702-0038,140,I-85,139
A210,19910927-0128,120,I-85,126
A211,19570615-0011,240,I-86,260
A212,19780815-0047,140,I-86,145
A213,19610918-0027,280,I-87,264
A214,19780424-0057,120,I-87,133
A215,19600905-0003,280,I-88,265
A216,19751018-0039,120,I-88,108
A217,19931231-0099,140,I-88,153
A218,19620522-0023,260,I-89,246
A219,19761024-0034,120,I-89,124
A220,19930829-0082,120,I-89,128
A221,19620831-0024,280,I-90,290
A222,19780815-0047,140,I-90,123
A223,19910206-0081,120,I-90,131
A224,19680712-0028,240,I-91,248
A225,19780424-0057,100,I-91,109
A226,19900520-0063,120,I-91,126
A227,19640220-0029,260,I-92,266
A228,19781217-0053,120,I-92,123
A229,19580515-0017,260,I-93,250
A230,19761020-0044,100,I-93,81
A231,19630126-0001,280,I-94,276
A232,19790708-0041,120,I-94,116
A233,19900317-0083,140,I-94,122
A234,19690513-0015,240,I-95,230
A235,19751018-0039,140,I-95,150
A236,19901002-0085,100,I-95,98
A237,19560812-0016,260,I-96,277
A238,19780317-0052,140,I-96,132
A239,19900317-0083,140,I-96,125
A240,19640414-0013,280,I-97,296
A241,19750906-0032,120,I-97,113
A242,19930508-0061,100,I-97,107
A243,19650303-0019,240,I-98,242
A244,19750417-0051,100,I-98,93
A245,19580218-0007,280,I-99,295
A246,19750906-0032,140,I-99,139
A247,19680712-0028,240,I-100,260
A248,19750331-0036,100,I-100,111
A249,19580218-0007,280,I-101,286
A250,19780602-0035,120,I-101,130
A251,19930326-0132,120,I-101,132
A252,19570615-0011,240,I-102,237
A253,19770713-0042,100,I-102,96
A254,19650303-0019,260,I-103,259
A255,19760108-0050,120,I-103,112
A256,19930919-0137,100,I-103,103
A257,19650303-0019,280,I-104,282
A258,19751018-0039,140,I-104,157
A259,19921218-0101,120,I-104,110
A260,19650303-0019,260,I-105,264
A261,19761009-0055,120,I-105,110
A262,19610918-0027,280,I-106,276
A263,19790426-0049,100,I-106,97
A264,19920122-0065,100,I-106,100
A265,19600529-0021,260,I-107,265
A266,19750331-0036,120,I-107,121
A267,19590129-0004,240,I-108,244
A268,19761009-0055,100,I-108,95
A269,19570826-0012,260,I-109,277
A270,19790717-0045,140,I-109,135
A271,19570828-0008,260,I-110,278
A272,19750417-0051,140,I-110,124
A273,19920122-0065,100,I-110,91
A274,19600529-0021,280,I-111,292
A275,19750512-0043,140,I-111,148
A276,19900616-0124,120,I-111,101
A277,19561222-0030,260,I-112,263
A278,19750417-0051,140,I-112,157
A279,19910404-0102,140,I-112,136
A280,19690917-0022,260,I-113,248
A281,19760524-0046,100,I-113,88
A282,19620522-0023,260,I-114,240
A283,19760524-0046,140,I-114,123
A284,19640414-0013,260,I-115,261
A285,19770224-0058,120,I-115,126
A286,19900511-0134,120,I-115,120
A287,19560812-0016,260,I-116,278
A288,19781217-0053,120,I-116,101
A289,19601021-0018,280,I-117,290
A290,19781217-0053,100,I-117,93
A291,19921127-0120,100,I-117,82
A292,19611219-0014,280,I-118,262
A293,19790426-0049,100,I-118,113
A294,19921123-0108,120,I-118,139
A295,19610623-0005,260,I-119,262
A296,19780317-0052,100,I-119,119
A297,19930919-0137,140,I-119,159
A298,19690513-0015,240,I-120,248
A299,19781217-0053,100,I-120,100
A300,19640220-0029,280,I-121,282
A301,19780317-0052,120,I-121,122
A302,19920826-0088,120,I-121,122
A303,19690917-0022,260,I-122,254
A304,19790702-0038,140,I-122,121
A305,19920316-0107,120,I-122,123
A306,19660630-0020,260,I-123,247
A307,19790702-0038,140,I-123,121
A308,19580218-0007,280,I-124,297
A309,19760524-0046,140,I-124,123
A310,19930228-0086,100,I-124,94
A311,19561222-0030,240,I-125,226
A312,19750906-0032,100,I-125,104
A313,19921208-0097,140,I-125,151
A314,19570828-0008,260,I-126,260
A315,19781130-0054,140,I-126,151
A316,19900128-0095,120,I-126,134
A317,19590129-0004,240,I-127,246
A318,19761020-0044,100,I-127,86
A319,19570826-0012,280,I-128,275
A320,19780424-0057,140,I-128,123
A321,19901219-0125,120,I-128,104
A322,19560812-0016,280,I-129,282
A323,19770713-0042,100,I-129,89
A324,19931118-0062,120,I-129,129
A325,19610623-0005,260,I-130,277
A326,19790618-0048,120,I-130,128
A327,19640414-0013,280,I-131,270
A328,19790708-0041,100,I-131,84
A329,19921208-0097,140,I-131,147
A330,19560812-0016,260,I-132,252
A331,19770713-0042,120,I-132,101
A332,19910514-0068,100,I-132,98
A333,19570826-0012,240,I-133,243
A334,19760108-0050,140,I-133,156
A335,19930228-0086,140,I-133,135
A336,19650303-0019,260,I-134,279
A337,19771013-0040,100,I-134,109
A338,19910822-0122,120,I-134,134
A339,19690513-0015,240,I-135,222
A340,19780317-0052,120,I-135,124
A341,19900723-0126,100,I-135,113
A342,19650303-0019,260,I-136,249
A343,19750417-0051,100,I-136,106
A344,19690917-0022,260,I-137,261
A345,19781130-0054,140,I-137,125
A346,19610623-0005,280,I-138,298
A347,19760108-0050,100,I-138,85
A348,19560812-0016,280,I-139,274
A349,19780602-0035,100,I-139,102
A350,19560812-0016,240,I-140,224
A351,19780317-0052,100,I-140,88
A352,19640414-0013,240,I-141,243
A353,19750331-0036,100,I-141,86
A354,19931226-0118,100,I-141,90
A355,19590129-0004,240,I-142,220
A356,19760108-0050,100,I-142,83
A357,19650303-0019,240,I-143,220
A358,19750906-0032,100,I-143,91
A359,19660630-0020,280,I-144,273
A360,19750705-0033,100,I-144,103
A361,19600529-0021,240,I-145,222
A362,19750906-0032,100,I-145,95
A363,19580218-0007,260,I-146,244
A364,19780424-0057,100,I-146,102
A365,19560812-0016,240,I-147,255
A366,19750331-0036,100,I-147,106
A367,19920226-0075,140,I-147,126
A368,19640414-0013,280,I-148,284
A369,19790426-0049,140,I-148,144
A370,19910514-0068,140,I-148,120
A371,19610623-0005,280,I-149,263
A372,19750512-0043,140,I-149,154
A373,19561222-0030,260,I-150,275
A374,19750122-0056,100,I-150,89
A375,19680712-0028,260,I-151,248
A376,19751018-0039,100,I-151,94
A377,19611219-0014,280,I-152,292
A378,19780317-0052,120,I-152,131
A379,19920504-0093,120,I-152,111
A380,19580515-0017,260,I-153,252
A381,19750705-0033,140,I-153,135
A382,19610620-0006,260,I-154,250
A383,19761009-0055,100,I-154,112
A384,19910101-0133,140,I-154,150
A385,19570826-0012,280,I-155,285
A386,19790702-0038,140,I-155,159
A387,19910927-0128,140,I-155,126
A388,19600814-0002,260,I-156,255
A389,19761024-0034,100,I-156,85
A390,19910421-0067,140,I-156,134
A391,19560612-0010,280,I-157,293
A392,19750417-0051,120,I-157,103
A393,19570615-0011,240,I-158,225
A394,19750906-0032,140,I-158,158
A395,19580218-0007,260,I-159,279
A396,19790618-0048,140,I-159,121
A397,19931203-0066,120,I-159,123
A398,19570615-0011,240,I-160,260
A399,19750122-0056,140,I-160,143
A400,19570826-0012,280,I-161,281
A401,19760524-0046,100,I-161,98
A402,19900701-0138,140,I-161,155
A403,19640414-0013,240,I-162,237
A404,19750906-0032,140,I-162,121
A405,19561222-0030,280,I-163,297
A406,19781217-0053,100,I-163,102
A407,19600814-0002,280,I-164,288
A408,19750102-0059,100,I-164,110
A409,19650303-0019,240,I-165,243
A410,19750705-0033,120,I-165,134
A411,19900317-0083,120,I-165,122
A412,19610918-0027,240,I-166,235
A413,19751018-0039,120,I-166,107
A414,19580515-0017,260,I-167,246
A415,19770713-0042,140,I-167,136
A416,19920602-0073,100,I-167,115
A417,19570828-0008,280,I-168,267
A418,19750722-0060,120,I-168,131
A419,19640414-0013,260,I-169,265
A420,19771013-0040,100,I-169,120
A421,19610918-0027,280,I-170,276
A422,19780317-0052,120,I-170,128
A423,19910206-0081,120,I-170,121
A424,19690917-0022,280,I-171,280
A425,19771013-0040,120,I-171,122
A426,19900616-0124,140,I-171,159
A427,19580218-0007,280,I-172,298
A428,19780602-0035,120,I-172,116
A429,19900430-0112,100,I-172,120
A430,19680712-0028,280,I-173,276
A431,19781125-0031,140,I-173,131
A432,19620831-0024,260,I-174,261
A433,19790426-0049,120,I-174,114
A434,19921002-0129,120,I-174,106
A435,19611219-0014,280,I-175,270
A436,19750512-0043,100,I-175,86
A437,19900723-0126,120,I-175,130
A438,19580515-0017,260,I-176,267
A439,19781217-0053,140,I-176,146
A440,19660630-0020,260,I-177,271
A441,19760108-0050,140,I-177,153
A442,19570826-0012,280,I-178,264
A443,19750705-0033,120,I-178,111
A444,19630126-0001,260,I-179,276
A445,19790618-0048,100,I-179,110
A446,19921208-0097,140,I-179,145
A447,19690513-0015,240,I-180,255
A448,19750512-0043,120,I-180,128
A449,19920226-0075,100,I-180,118
A450,19580515-0017,280,I-181,261
A451,19750122-0056,100,I-181,86
A452,19920505-0115,120,I-181,122
A453,19640220-0029,240,I-182,244
A454,19761009-0055,100,I-182,91
A455,19921002-0129,100,I-182,84
A456,19570615-0011,240,I-183,227
A457,19780424-0057,100,I-183,107
A458,19660630-0020,280,I-184,280
A459,19790708-0041,120,I-184,124
A460,19910101-0133,100,I-184,101
A461,19690513-0015,240,I-185,240
A462,19750417-0051,140,I-185,155
A463,19610918-0027,280,I-186,268
A464,19781125-0031,100,I-186,106
A465,19560705-0025,280,I-187,273
A466,19750220-0037,100,I-187,89
A467,19931118-0062,120,I-187,115
A468,19690917-0022,240,I-188,257
A469,19780602-0035,120,I-188,106
A470,19900619-0076,100,I-188,104
A471,19600905-0003,240,I-189,237
A472,19750122-0056,140,I-189,150
A473,19910327-0096,140,I-189,135
A474,19610623-0005,280,I-190,278
A475,19760524-0046,140,I-190,159
A476,19900902-0114,140,I-190,155
A477,19690917-0022,240,I-191,250
A478,19780317-0052,120,I-191,132
A479,19560705-0025,260,I-192,254
A480,19750122-0056,120,I-192,124
A481,19920206-0072,120,I-192,106
A482,19600905-0003,280,I-193,290
A483,19761020-0044,100,I-193,84
A484,19601021-0018,280,I-194,272
A485,19790426-0049,100,I-194,97
A486,19900128-0095,100,I-194,107
A487,19620424-0026,280,I-195,273
A488,19790717-0045,120,I-195,123
A489,19580218-0007,280,I-196,289
A490,19780815-0047,120,I-196,118
A491,19930829-0082,120,I-196,100
A492,19590129-0004,280,I-197,265
A493,19750331-0036,100,I-197,86
A494,19610623-0005,260,I-198,275
A495,19750220-0037,100,I-198,98
A496,19930829-0082,140,I-198,126
A497,19560612-0010,280,I-199,300
A498,19790702-0038,120,I-199,123
A499,19630126-0001,240,I-200,259
A500,19781125-0031,120,I-200,107
A501,19901029-0071,140,I-200,157
A502,19690513-0015,260,I-201,273
A503,19790717-0045,120,I-201,139
A504,19930221-0139,120,I-201,109
A505,19690513-0015,280,I-202,274
A506,19790717-0045,120,I-202,129
A507,19611219-0014,240,I-203,243
A508,19780815-0047,120,I-203,104
A509,19610620-0006,240,I-204,248
A510,19790426-0049,140,I-204,127
A511,19600814-0002,280,I-205,281
A512,19750220-0037,120,I-205,128
A513,19580515-0017,280,I-206,282
A514,19780602-0035,140,I-206,133
A515,19900321-0080,120,I-206,119
A516,19590129-0004,240,I-207,230
A517,19771013-0040,140,I-207,156
A518,19680712-0028,240,I-208,239
A519,19750722-0060,100,I-208,81
A520,19590129-0004,280,I-209,261
A521,19750512-0043,140,I-209,130
A522,19570615-0011,280,I-210,265
A523,19770224-0058,120,I-210,119
A524,19930906-0110,120,I-210,107
A525,19690513-0015,260,I-211,240
A526,19780317-0052,100,I-211,105
A527,19900616-0124,120,I-211,105
A528,19630126-0001,240,I-212,246
A529,19761020-0044,100,I-212,105
A530,19570828-0008,240,I-213,220
A531,19780317-0052,100,I-213,101
A532,19580515-0017,280,I-214,290
A533,19790708-0041,140,I-214,129
A534,19930326-0132,100,I-214,115
A535,19630126-0001,280,I-215,293
A536,19780317-0052,140,I-215,148
A537,19911116-0069,100,I-215,101
A538,19610623-0005,280,I-216,264
A539,19750331-0036,100,I-216,101
A540,19920226-0075,140,I-216,140
A541,19580218-0007,280,I-217,261
A542,19781130-0054,100,I-217,84
A543,19650303-0019,260,I-218,270
A544,19790426-0049,140,I-218,120
A545,19900616-0124,100,I-218,85
A546,19561222-0030,240,I-219,243
A547,19750512-0043,100,I-219,108
A548,19610918-0027,260,I-220,278
A549,19751018-0039,120,I-220,122
A550,19920122-0065,100,I-220,104
A551,19610620-0006,280,I-221,290
A552,19750722-0060,140,I-221,125
A553,19580515-0017,260,I-222,250
A554,19750705-0033,120,I-222,102
A555,19640220-0029,280,I-223,266
A556,19790426-0049,120,I-223,109
A557,19690408-0009,260,I-224,253
A558,19790426-0049,140,I-224,136
A559,19690408-0009,260,I-225,246
A560,19790702-0038,120,I-225,120
A561,19900128-0095,140,I-225,126
A562,19580515-0017,280,I-226,264
A563,19750512-0043,140,I-226,141
A564,19560812-0016,240,I-227,245
A565,19771013-0040,100,I-227,119
A566,19560812-0016,280,I-228,278
A567,19790708-0041,100,I-228,84
A568,19900511-0134,100,I-228,85
A569,19611219-0014,280,I-229,285
A570,19781217-0053,120,I-229,100
A571,19921218-0101,100,I-229,95
A572,19660630-0020,280,I-230,271
A573,19790702-0038,120,I-230,110
A574,19600814-0002,280,I-231,289
A575,19770224-0058,100,I-231,98
A576,19611219-0014,280,I-232,268
A577,19760108-0050,120,I-232,116
A578,19620831-0024,260,I-233,263
A579,19760524-0046,100,I-233,115
A580,19560705-0025,240,I-234,230
A581,19750705-0033,140,I-234,126
A582,19570826-0012,240,I-235,259
A583,19790708-0041,140,I-235,151
A584,19600529-0021,240,I-236,224
A585,19780424-0057,140,I-236,141
A586,19660630-0020,240,I-237,241
A587,19750512-0043,100,I-237,118
A588,19611219-0014,240,I-238,223
A589,19750417-0051,140,I-238,135
A590,19910122-0077,120,I-238,105
A591,19600529-0021,280,I-239,275
A592,19781130-0054,120,I-239,138
A593,19600814-0002,280,I-240,284
A594,19770224-0058,120,I-240,135
A595,19900801-0130,100,I-240,96
A596,19690917-0022,280,I-241,287
A597,19760524-0046,120,I-241,131
A598,19600905-0003,240,I-242,255
A599,19780602-0035,120,I-242,119
A600,19560705-0025,260,I-243,261
A601,19780815-0047,120,I-243,122
A602,19690917-0022,260,I-244,263
A603,19790708-0041,120,I-244,100
A604,19921201-0094,100,I-244,107
A605,19580218-0007,280,I-245,288
A606,19781125-0031,140,I-245,137
A607,19900317-0083,100,I-245,98
A608,19690917-0022,260,I-246,243
A609,19750220-0037,140,I-246,122
A610,19620831-0024,280,I-247,295
A611,19790708-0041,140,I-247,155
A612,19620831-0024,240,I-248,242
A613,19761009-0055,100,I-248,97
A614,19931118-0062,140,I-248,132
A615,19690408-0009,240,I-249,254
A616,19750102-0059,120,I-249,110
A617,19900902-0114,120,I-249,108
A618,19620522-0023,240,I-250,223
A619,19750122-0056,100,I-250,118
A620,19560705-0025,240,I-251,221
A621,19760108-0050,120,I-251,137
A622,19921127-0120,140,I-251,151
A623,19610623-0005,260,I-252,256
A624,19771013-0040,100,I-252,109
A625,19920828-0070,120,I-252,124
A626,19611219-0014,280,I-253,286
A627,19750102-0059,100,I-253,93
A628,19580515-0017,260,I-254,273
A629,19780602-0035,140,I-254,141
A630,19630126-0001,240,I-255,249
A631,19780815-0047,100,I-255,93
A632,19560705-0025,240,I-256,236
A633,19790618-0048,120,I-256,137
A634,19610918-0027,260,I-257,240
A635,19750417-0051,120,I-257,134
A636,19920828-0070,120,I-257,115
A637,19690917-0022,240,I-258,260
A638,19780317-0052,140,I-258,120
A639,19920602-0073,100,I-258,91
A640,19640414-0013,280,I-259,291
A641,19781217-0053,100,I-259,111
A642,19630126-0001,280,I-260,262
A643,19790618-0048,140,I-260,127
A644,19920320-0121,140,I-260,157
A645,19610918-0027,260,I-261,246
A646,19761009-0055,120,I-261,133
A647,19930512-0117,140,I-261,136
A648,19620522-0023,280,I-262,284
A649,19750705-0033,120,I-262,128
A650,19560705-0025,240,I-263,232
A651,19790708-0041,120,I-263,127
A652,19580218-0007,260,I-264,266
A653,19761020-0044,120,I-264,110
A654,19560705-0025,260,I-265,240
A655,19790708-0041,100,I-265,97
A656,19660630-0020,240,I-266,232
A657,19761009-0055,140,I-266,157
A658,19921002-0129,140,I-266,160
A659,19600529-0021,280,I-267,267
A660,19750331-0036,120,I-267,138
A661,19690408-0009,240,I-268,253
A662,19750331-0036,120,I-268,110
A663,19920504-0093,140,I-268,122
A664,19690513-0015,240,I-269,259
A665,19761009-0055,140,I-269,159
A666,19901108-0087,100,I-269,104
A667,19600529-0021,240,I-270,220
A668,19771013-0040,120,I-270,140
A669,19690408-0009,240,I-271,224
A670,19750417-0051,120,I-271,125
A671,19580515-0017,240,I-272,240
A672,19770713-0042,140,I-272,136
A673,19620522-0023,240,I-273,257
A674,19751018-0039,140,I-273,132
A675,19900426-0089,140,I-273,138
A676,19570828-0008,260,I-274,251
A677,19750417-0051,140,I-274,137
A678,19620831-0024,240,I-275,223
A679,19790708-0041,120,I-275,113
A680,19911025-0091,120,I-275,104
A681,19570826-0012,280,I-276,264
A682,19761020-0044,100,I-276,107
A683,19901029-0071,120,I-276,133
A684,19560705-0025,240,I-277,232
A685,19761020-0044,100,I-277,87
A686,19920505-0115,100,I-277,83
A687,19620831-0024,240,I-278,221
A688,19751018-0039,140,I-278,139
A689,19920316-0107,140,I-278,125
A690,19660630-0020,260,I-279,260
A691,19780815-0047,140,I-279,140
A692,19900520-0063,120,I-279,138
A693,19560812-0016,260,I-280,258
A694,19751018-0039,120,I-280,102
A695,19610918-0027,280,I-281,270
A696,19780424-0057,100,I-281,81
A697,19680712-0028,240,I-282,260
A698,19780602-0035,120,I-282,100
A699,19921201-0094,120,I-282,120
A700,19630126-0001,260,I-283,271
A701,19750512-0043,120,I-283,134
A702,19610620-0006,260,I-284,260
A703,19750906-0032,120,I-284,131
A704,19920917-0109,140,I-284,126
A705,19590129-0004,280,I-285,261
A706,19771013-0040,140,I-285,130
A707,19931231-0099,100,I-285,96
A708,19640220-0029,240,I-286,248
A709,19780424-0057,100,I-286,84
A710,19930829-0082,140,I-286,157
A711,19570826-0012,240,I-287,242
A712,19750122-0056,120,I-287,130
A713,19900307-0105,100,I-287,120
A714,19630126-0001,240,I-288,229
A715,19780815-0047,100,I-288,110
A716,19900511-0134,140,I-288,154
A717,19611219-0014,260,I-289,247
A718,19790717-0045,100,I-289,87
A719,19620831-0024,260,I-290,269
A720,19761024-0034,140,I-290,152
A721,19590129-0004,280,I-291,270
A722,19761009-0055,120,I-291,105
A723,19600529-0021,280,I-292,268
A724,19750722-0060,120,I-292,113
A725,19570615-0011,280,I-293,271
A726,19790717-0045,120,I-293,104
A727,19900701-0138,140,I-293,153
A728,19690513-0015,260,I-294,247
A729,19790717-0045,120,I-294,138
A730,19900723-0126,120,I-294,113
A731,19560705-0025,260,I-295,254
A732,19760108-0050,120,I-295,132
A733,19931212-0079,140,I-295,151
A734,19680712-0028,280,I-296,262
A735,19780815-0047,140,I-296,152
A736,19620522-0023,280,I-297,275
A737,19750705-0033,140,I-297,139
A738,19910327-0096,120,I-297,109
A739,19680712-0028,260,I-298,260
A740,19750906-0032,120,I-298,117
A741,19580515-0017,260,I-299,245
A742,19771013-0040,100,I-299,107
A743,19930228-0086,100,I-299,106
A744,19570615-0011,260,I-300,266
A745,19781217-0053,100,I-300,118
A746,19601021-0018,260,I-301,241
A747,19781125-0031,120,I-301,135
A748,19931231-0099,140,I-301,124
A749,19600529-0021,240,I-302,251
A750,19781125-0031,140,I-302,141
A751,19910206-0081,100,I-302,88
A752,19640220-0029,280,I-303,270
A753,19750122-0056,120,I-303,104
A754,19680712-0028,260,I-304,255
A755,19760108-0050,140,I-304,133
A756,19900801-0130,140,I-304,124
A757,19620831-0024,260,I-305,261
A758,19750722-0060,100,I-305,89
A759,19910404-0102,120,I-305,100
A760,19650303-0019,280,I-306,292
A761,19790708-0041,100,I-306,118
A762,19570615-0011,260,I-307,259
A763,19790717-0045,140,I-307,147
A764,19910822-0122,100,I-307,99
A765,19560705-0025,240,I-308,233
A766,19790618-0048,100,I-308,84
A767,19900616-0124,100,I-308,85
A768,19620831-0024,260,I-309,259
A769,19790708-0041,120,I-309,119
A770,19900317-0083,100,I-309,83
A771,19600814-0002,240,I-310,240
A772,19790708-0041,100,I-310,94
A773,19610918-0027,240,I-311,226
A774,19770713-0042,140,I-311,125
